Active CSV Line,Title,Artist,Field,Active Value,Candidate Value,Staged Value,Reason,Source
214,Modulor mix,Air,Spotify Track ID,4v1vuLH8aEtxAZdoVSwm02,4v1vuLH8aEtxAZdoVSwm02,1THmmDV8tPlBm90kyWf6uU,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
246,Silent Hill,Akira Yamaoka,Spotify Track ID,3BQGqHtnnFSkTzzdXvUXSP,3BQGqHtnnFSkTzzdXvUXSP,23OtZ6mVz24ZXZ6KeDnjG2,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
251,Theme of Laura (Reprise),Akira Yamaoka,Spotify Track ID,7d3czu4ZW2ARKNb8AWRs0r,7d3czu4ZW2ARKNb8AWRs0r,4jNS0CJQtMae6qEjkPJ6iG,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
267,Head over Feet (Live / Unplugged),Alanis Morissette,Spotify Track ID,36sZlJgvmP62qcEuAaV1uM,36sZlJgvmP62qcEuAaV1uM,0HxDXAUayBZXU8ZaWdBKyc,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
516,A Town Called Obsolete,Andreya Triana,Spotify Track ID,2RlWXa67n2RDyvmz6tvVWR,2RlWXa67n2RDyvmz6tvVWR,2jofjSpgp0idhM6stxbXRo,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
624,All Time,Archive,Spotify Track ID,5nHMdhLvzZe7s7OpqOoftu,5nHMdhLvzZe7s7OpqOoftu,3Qt1Wa1mKRsJutcsvt0DHU,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
627,Headspace,Archive,Spotify Track ID,6TUMiWv8VXRwE7p0Bv2Wjp,6TUMiWv8VXRwE7p0Bv2Wjp,1jScWoGvbDSZmhrftJlIdk,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
634,Organ Song,Archive,Spotify Track ID,0xyUCEk6IkYMN6asvcavk9,0xyUCEk6IkYMN6asvcavk9,03TrmL2cEFCLj0q3yhFlSc,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
669,Private Sunshine,ASHLEY SLATER,Spotify Track ID,2Yw0sXx8WEQeLIlZVFPyKN,2Yw0sXx8WEQeLIlZVFPyKN,3v2sTDZBlrI6WdltEKUA4e,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
837,The Hunting,Bajka,Spotify Track ID,7p4mDVPONbVCvC6mQqeDM0,7p4mDVPONbVCvC6mQqeDM0,56wBVMMnECptDP99GJaZBF,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
1089,Always,Bent,Spotify Track ID,4lsGBZWdjhnLBLY8Xp38g0,4lsGBZWdjhnLBLY8Xp38g0,7ECDD5PX9KEVSwFqgAbwjT,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
1199,Speak Low - Bent Remix,Billie Holiday,Spotify Track ID,76wnGqb0iUVimgTLU89o9f,76wnGqb0iUVimgTLU89o9f,7ujUko3QK8m1UFnexVmRbc,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
1215,Dancing With Myself,Billy Idol,Spotify Track ID,4kP1Q7kTXz1exaYR6biydH,4kP1Q7kTXz1exaYR6biydH,3rQfYDjgpRy5LFlClpPQW9,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
1240,Lonely Is the Night,Billy Squier,Spotify Track ID,2MsFg3G9mdKcJJkkffiAYN,2MsFg3G9mdKcJJkkffiAYN,28eg5bkYvIHT7HPmzZFwLN,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
1279,Army of Me (Sucker Punch remix),Bjork featuring Skunk Anansie,Spotify Track ID,3vEmpJQC2p8h0U3OiBufQm,3vEmpJQC2p8h0U3OiBufQm,4GlINJTlEq7g9diy5dJ9an,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
1334,Heart of Glass (Crabtree Remix),Blondie,Spotify Track ID,4v2rkl1mC3zVAz0nXMx9r4,4v2rkl1mC3zVAz0nXMx9r4,3AfSUTSjkbjnyi5dDjTB9R,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
1335,Heart Of Glass (Special Mix),Blondie,Spotify Track ID,4v2rkl1mC3zVAz0nXMx9r4,4v2rkl1mC3zVAz0nXMx9r4,0a4agFmqHXxcZl1nho1BxM,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
1357,Godzilla (live),Blue Oyster Cult,Spotify Track ID,6N0AnkdDFZUetw8KAGHV7e,6N0AnkdDFZUetw8KAGHV7e,7EUicA1ZWopQICfTSStfkM,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
1391,Desire,Bob Moses,Spotify Track ID,36Lb2L21fDT7vtl0r7zpa5,36Lb2L21fDT7vtl0r7zpa5,0tcNM9PPdMYv9S3tjuZSyV,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
1653,Cola (Mixed),CamelPhat,Spotify Track ID,79uyF45rQWbYrZnx6GuTLa,79uyF45rQWbYrZnx6GuTLa,1oTAZyGwFn1VNLBeSG1hyy,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
1743,"Darling, Darling, Darling...",Chapelier Fou,Spotify Track ID,6atS8vTuW9VreXpaAu0k7z,6atS8vTuW9VreXpaAu0k7z,7MmTruEsgxewbrLVyvRvv0,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
1897,Fall,Clint Mansell,Spotify Track ID,0LNYpW0LDpMPWgoJOFZKEa,0LNYpW0LDpMPWgoJOFZKEa,7vWqh2jf9plrPZMaGk6AlW,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
1946,Run (Live),Collective Soul,Spotify Track ID,3HxX5qcaz2phmsJVPskugD,3HxX5qcaz2phmsJVPskugD,5xjAQfzYsEXabVoIvebzkP,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
1960,Endless Dream,Conjure One Featuring Poe,Spotify Track ID,6NbC7BG4xbBrpDSfQTfVXj,6NbC7BG4xbBrpDSfQTfVXj,38L23tm3HJ6aTWxLlUn9sk,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2094,Pure Joy,DAB,Spotify Track ID,67orTrhmHbBgN8DqdMupRh,67orTrhmHbBgN8DqdMupRh,3344ysKWRhETzzq6JNeNQv,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2095,The Blues,DAB,Spotify Track ID,2XEzCiqGc9EFpVM8i41okG,2XEzCiqGc9EFpVM8i41okG,55snxxF4bHptZKtWcMlssL,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2114,Revelation,Daikirai,Spotify Track ID,2uSLCVaKCauzOk8NIiJbtJ,2uSLCVaKCauzOk8NIiJbtJ,6wQetn4GeuGyBKVonNgnq5,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2117,Michelle Plays Ping Pong,DAISY DAISY,Spotify Track ID,6xf8NPPwfmDtHa3wUV9OAW,6xf8NPPwfmDtHa3wUV9OAW,1996ohzspE68MwjrWguuX2,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2217,The Man Who Sold The World,David Bowie,Spotify Track ID,460q0S6ZJndf1WlKlZ13Wu,460q0S6ZJndf1WlKlZ13Wu,4mWahKerLaVddUjb8d1Q4Q,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2230,The Magic Number,DE LA SOUL,Spotify Track ID,2lPrtCVXwPvlOM96nrXO5c,2lPrtCVXwPvlOM96nrXO5c,4hB8J06D2ZaGkWZDOMpYZB,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2235,No Lie,De-Phazz,Spotify Track ID,6VbNwb89hSrsGtecHg5a8c,6VbNwb89hSrsGtecHg5a8c,11AJb4e4hTdvWm6RD8QjAR,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2238,The Host of Seraphim,Dead Can Dance,Spotify Track ID,5CaT9q2MaBP1GuH6khIy8B,5CaT9q2MaBP1GuH6khIy8B,3vdiWuVRCKbEBNmuaLPMxv,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2239,The Ubiquitous Mr. Lovegrove,Dead Can Dance,Spotify Track ID,46Uu8z4OhFr9o02bR4JDDU,46Uu8z4OhFr9o02bR4JDDU,6bQ2ojoZbv95gBFx3jL9UO,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2263,I'll Be Home for Christmas,Dean Martin,Spotify Track ID,4mPPA20iT8lxPuIdDvYPwL,4mPPA20iT8lxPuIdDvYPwL,5PCS7feLWXvEsp5s5fSpXe,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2301,Silence,Delerium,Spotify Track ID,6WuBtCCjG0T2irgaeBkPDu,6WuBtCCjG0T2irgaeBkPDu,2jAjkmZIKwV5VOBiZ3qUUL,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2316,Blasphemous Rumours,Depeche Mode,Spotify Track ID,4Gsq0yYHEIAt5WLFKqY6M3,4Gsq0yYHEIAt5WLFKqY6M3,7oQX82XgUBDhSbpMSksG12,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2327,Enjoy the Silence (Hands and Feet mix),Depeche Mode,Spotify Track ID,6WK9dVrRABMkUXFLNlgWFh,6WK9dVrRABMkUXFLNlgWFh,7ln0aztR553ZJLoHsF3FxD,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2328,Enjoy The Silence (Live),Depeche Mode,Spotify Track ID,6WK9dVrRABMkUXFLNlgWFh,6WK9dVrRABMkUXFLNlgWFh,162jEBRb6zCOiaWaCiqK3B,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2330,Enjoy the Silence (single mix),Depeche Mode,Spotify Track ID,6WK9dVrRABMkUXFLNlgWFh,6WK9dVrRABMkUXFLNlgWFh,7ln0aztR553ZJLoHsF3FxD,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2341,Never Let Me Down Again,Depeche Mode,Spotify Track ID,3QqONU0GW4byIClquChyf0,3QqONU0GW4byIClquChyf0,0T57cTUpYpvSvZ3GowBuTP,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2345,Personal Jesus,Depeche Mode,Spotify Track ID,3mHj3cBY3bKYuMb3z0lRVS,3mHj3cBY3bKYuMb3z0lRVS,2wUlYDGGXlSvm2NkGj0Qio,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2347,Personal Jesus (Single Version),Depeche Mode,Spotify Track ID,3mHj3cBY3bKYuMb3z0lRVS,3mHj3cBY3bKYuMb3z0lRVS,4UCTgh5jvtqoaMX6MAhUNn,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2348,Policy of Truth,Depeche Mode,Spotify Track ID,5pEkt88uwNG4xfwSiOgsqC,5pEkt88uwNG4xfwSiOgsqC,0Mb20VmqR2lvtgbEermW2v,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2440,Six Days,DJ Shadow,Spotify Track ID,525vGLj61tNqCToVJ9cPzp,525vGLj61tNqCToVJ9cPzp,6ifNuuYjiS5NdMabN4Jvrs,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2441,Six Days (Machinedrum Remix),DJ Shadow,Spotify Track ID,525vGLj61tNqCToVJ9cPzp,525vGLj61tNqCToVJ9cPzp,1jXBvdTHlmz0zy5GTzANks,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2476,Boys of Summer,Don Henley,Spotify Track ID,4TIZrHkVMOnEb0L3Vj8zUc,4TIZrHkVMOnEb0L3Vj8zUc,4Q3ERWBrb4lhDvAPyANjY5,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2479,The Boys Of Summer,Don Henley,Spotify Track ID,4TIZrHkVMOnEb0L3Vj8zUc,4TIZrHkVMOnEb0L3Vj8zUc,4Q3ERWBrb4lhDvAPyANjY5,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2483,Why,Donna Regina,Spotify Track ID,21PV64xRI67P281IldN5oX,21PV64xRI67P281IldN5oX,0LFoXRQ74Z8xksGA1z9EVB,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2540,I Believe in You,Duran Duran,Spotify Track ID,0e9JJroReg5QiuM0JN6RJ4,0e9JJroReg5QiuM0JN6RJ4,4umuMi2giGbdbVbsVZ5ADf,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2541,I Don't Want Your Love,Duran Duran,Spotify Track ID,4XlMPyTNmxbVfFfOd85SKz,4XlMPyTNmxbVfFfOd85SKz,14EAufx3zDJvNi4jyrLlCQ,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2542,I Don't Want Your Love (Shep Pettibone Mix),Duran Duran,Spotify Track ID,4XlMPyTNmxbVfFfOd85SKz,4XlMPyTNmxbVfFfOd85SKz,14EAufx3zDJvNi4jyrLlCQ,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2549,Rio (US Edit),Duran Duran,Spotify Track ID,2SEM1OHX0POc27jbphZEpW,2SEM1OHX0POc27jbphZEpW,0cfDBdKa6tlz4RWmfoRZE0,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2558,The Wild Boys (Wilder Than Wild Boys Extended Mix),Duran Duran,Spotify Track ID,23M7cQkNJLiddeubvVgaQl,23M7cQkNJLiddeubvVgaQl,56tyrP6qa5TE1E0Ecfhn0J,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2559,Union of the Snake,Duran Duran,Spotify Track ID,2iitSsbNPH0EJPyyEpvSgg,2iitSsbNPH0EJPyyEpvSgg,3JpaL6FMH9kjVWMA1mTmRl,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2576,Headstrong,Earshot,Spotify Track ID,36ikjmiIpqEZ1913HvNkfH,36ikjmiIpqEZ1913HvNkfH,6Z1bDJrdeadsoJQE05QxGf,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2579,Santa Baby,Eartha Kitt,Spotify Track ID,59hKzj0h6ElhQv8rBqvpUz,59hKzj0h6ElhQv8rBqvpUz,3EO3fBZjoiiNPozbdplKJf,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2629,Inner Light (Barry Can't Swim Remix),Elderbrook,Spotify Track ID,40tPP3K10yMZxwnT65REKj,40tPP3K10yMZxwnT65REKj,0luVePRe2Z1wnYxULh5LGh,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2666,Dream A Little Dream Of Me,Ella Fitzgerald,Spotify Track ID,0KBvapFwuz8gPKu6Gw23WN,0KBvapFwuz8gPKu6Gw23WN,78MI7mu1LV1k4IA2HzKmHe,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2725,Eve,Emancipator,Spotify Track ID,2oq7eoZRyBsUDyW1uyQNOZ,2oq7eoZRyBsUDyW1uyQNOZ,2HJeCc5Dy2pB6OR3FGO7yc,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2743,Desert,Emilie Simon,Spotify Track ID,2g3hloQSJPZeVfhamreahC,2g3hloQSJPZeVfhamreahC,2DTw1WEzW2G7MKnpKLGoCS,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2791,Refrão De Bolero,Engenheiros do Hawaii,Spotify Track ID,0zDd8L392PZaHM0QXr4t3Y,0zDd8L392PZaHM0QXr4t3Y,78AuK7p3Wj5a1cvIqfX5cp,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2792,Principles Of Lust,Enigma,Spotify Track ID,6eAEpHCRLhGRvehKp2JzbG,6eAEpHCRLhGRvehKp2JzbG,6YyqULhTNU7AKaKJKChluQ,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2793,Sadeness Part 1,Enigma,Spotify Track ID,3n2dV8PXv1bs8KP31UhbVj,3n2dV8PXv1bs8KP31UhbVj,3exCa2VExkXc27C3SDGUVG,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2836,Missing,Everything But The Girl,Spotify Track ID,559fPQkxu5odfZT1iC08ev,559fPQkxu5odfZT1iC08ev,12JS8jXv0pcLAke3nIyejB,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2838,Missing (Todd Terry Remix),Everything But The Girl,Spotify Track ID,559fPQkxu5odfZT1iC08ev,559fPQkxu5odfZT1iC08ev,12JS8jXv0pcLAke3nIyejB,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2850,Don't Leave,Faithless,Spotify Track ID,65alEHNH6CrabO8o4dXPj7,65alEHNH6CrabO8o4dXPj7,6VtY2xGJ9eyi1eATpvEerC,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2870,Hayling (Ils Remix),FC Kahuna,Spotify Track ID,5ewsTJzfU5eiBLcGlaSrpG,5ewsTJzfU5eiBLcGlaSrpG,1sHwvteMxSyoYXBgsP1Afw,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2871,Hayling (Special Request Mix) (Mixed),FC Kahuna,Spotify Track ID,5ewsTJzfU5eiBLcGlaSrpG,5ewsTJzfU5eiBLcGlaSrpG,1W6yjkff8boaFQDENdIQN4,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2889,A Zed and two L's,Fila Brazillia,Spotify Track ID,7Cpqa5dmzAz9t9adXaIEng,7Cpqa5dmzAz9t9adXaIEng,4xYat8aAiLzMOGsXWB5igA,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2896,(Can't You) Trip Like I Do,Filter,Spotify Track ID,5Vip8qySvWP12QaJoPliOA,5Vip8qySvWP12QaJoPliOA,3qiXr7dKZkCElXo2Lk6ICK,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2940,Crave You (Adventure Club Remix),Flight Facilities,Spotify Track ID,06Gw4zi1Gqg11XgRchemgJ,06Gw4zi1Gqg11XgRchemgJ,5jdGLLEA1e85jy9VYdggoP,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
2987,I Want to Know What Love Is,Foreigner,Spotify Track ID,04OjLvOApQve45B0ISx4XN,04OjLvOApQve45B0ISx4XN,1JLn8RhQzHz3qDqsChcmBl,active Spotify ID differs from active Spotify Track ID; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\spotify_id_normalization_review.csv
9105,A Better Tomorrow,Dan the Automator,Genre,Hip Hop,Hip Hop,Electronic,both active and staged have nonblank conflicting values; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\field_differences_unambiguous_song_keys.csv
7122,A Deeper Silence,Steve Roach,Duration,73:41,73:41,73:41:00,both active and staged have nonblank conflicting values; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\field_differences_unambiguous_song_keys.csv
9345,ain't talking about love,Van Halen,Genre,Hard Rock,Hard Rock,Electronic,both active and staged have nonblank conflicting values; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\field_differences_unambiguous_song_keys.csv
2654,Air - Concert Prive,Electronic Music,Duration,59:48,59:48,59:48:00,both active and staged have nonblank conflicting values; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\field_differences_unambiguous_song_keys.csv
6863,Alive And Kicking,Simple Minds,Genre,"October 27, 2019","October 27, 2019",27-Oct-19,both active and staged have nonblank conflicting values; manual review required,D:\Music\MusicDB\data\exports\active_vs_staged_review\field_differences_unambiguous_song_keys.csv
